EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,Education,EducationField,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,JobLevel,MonthlyIncome,HourlyRate,DailyRate,MonthlyRate,PercentSalaryHike,DistanceFromHome,WorkLifeBalance,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,JobInvolvement,PerformanceRating,TrainingTimesLastYear,OverTime,BusinessTravel,StockOptionLevel,AttritionRisk,Attrition
EMP0029,30,Male,Single,Research & Development,Research Director,4,Master,4,2,1,1,15,4,1,53273,320,2355,51163,13,13,3,1,4,2,3,3,1,Yes,Travel_Rarely,1,120,No
EMP0030,34,Male,Married,Sales,Sales Manager,1,Below College,0,0,0,0,0,6,2,77418,575,4714,76043,15,6,4,4,2,2,3,4,5,Yes,Travel_Rarely,1,100,No
EMP0031,30,Male,Married,Operations,Operations Manager,3,Bachelor,1,0,0,0,5,4,4,141633,923,6812,142174,14,4,1,2,4,3,1,3,6,No,Travel_Frequently,0,160,No
EMP0032,55,Male,Married,IT,IT Support,1,Below College,0,0,0,0,14,3,1,47116,327,2487,49347,12,6,3,1,4,4,3,3,4,Yes,Non-Travel,1,135,No
EMP0033,36,Male,Divorced,Operations,Operations Analyst,5,Doctorate,2,1,0,0,14,2,1,67407,412,3083,66728,11,18,2,3,2,1,3,4,3,No,Non-Travel,1,100,No
EMP0034,26,Male,Single,Research & Development,Research Scientist,4,Master,11,5,1,3,18,2,1,66528,421,3147,64665,18,29,4,3,3,2,3,3,3,No,Non-Travel,0,100,No
EMP0035,45,Male,Single,Research & Development,Research Scientist,4,Master,20,10,5,8,20,1,2,85703,520,4256,82847,11,9,2,2,2,1,3,3,2,No,Non-Travel,2,70,No
EMP0036,24,Female,Married,Finance,Financial Analyst,4,Master,5,3,2,2,18,4,1,68660,463,3751,66415,22,15,4,3,1,1,3,3,2,No,Non-Travel,1,70,No
EMP0037,39,Male,Married,Research & Development,Research Scientist,4,Master,0,0,0,0,8,0,1,51095,364,2723,49524,13,1,2,1,3,3,3,3,6,No,Travel_Frequently,0,165,No
EMP0038,18,Male,Married,IT,Systems Administrator,5,Doctorate,11,4,4,2,13,2,2,91521,573,5033,93921,12,21,1,3,4,3,2,3,2,No,Travel_Frequently,2,105,No
EMP0039,23,Male,Divorced,Research & Development,Research Director,4,Master,3,2,1,1,7,3,2,71189,441,3472,68064,12,29,2,2,1,3,3,4,3,No,Non-Travel,0,130,Yes
EMP0040,38,Female,Divorced,Research & Development,Research Director,5,Doctorate,0,0,0,0,8,3,1,69292,405,2978,72738,15,8,2,3,4,3,3,3,2,No,Travel_Rarely,2,90,No
EMP0041,44,Male,Divorced,Sales,Sales Executive,3,Bachelor,12,9,5,4,16,4,1,64560,351,2594,64706,11,14,3,3,3,4,2,3,3,No,Travel_Rarely,0,55,No
EMP0042,38,Male,Married,Sales,Sales Representative,2,College,7,5,2,3,15,1,2,73809,542,4408,74135,11,7,2,3,4,3,3,3,2,No,Travel_Rarely,1,55,Yes
EMP0043,35,Female,Married,Sales,Sales Manager,3,Bachelor,6,2,1,1,15,0,4,138565,802,7030,136591,18,3,3,4,4,4,4,3,3,No,Travel_Rarely,2,15,No
EMP0044,33,Female,Married,Sales,Sales Representative,2,College,6,2,1,0,13,2,3,94896,664,5388,96701,11,19,2,3,4,3,3,3,1,Yes,Travel_Rarely,0,85,No
EMP0045,22,Male,Single,Operations,Operations Manager,3,Bachelor,1,0,0,0,7,1,3,112958,766,6678,112635,17,9,4,3,4,4,3,3,3,No,Travel_Rarely,0,105,No
EMP0046,29,Female,Married,Sales,Sales Manager,3,Bachelor,1,0,0,0,11,1,2,71992,502,3971,70761,19,8,1,2,4,3,3,4,6,No,Travel_Rarely,1,125,No
EMP0047,32,Male,Single,IT,IT Manager,4,Master,5,3,2,1,5,3,1,62490,458,3616,61022,18,10,3,1,2,3,3,3,4,No,Travel_Rarely,1,105,No
EMP0048,47,Male,Divorced,Finance,Accountant,1,Below College,1,0,0,0,4,1,2,80396,527,4216,83818,16,19,3,3,2,4,3,3,1,Yes,Non-Travel,0,115,No
EMP0049,40,Male,Married,Human Resources,HR Specialist,2,College,2,1,0,0,10,0,3,108299,784,6519,106035,11,13,4,3,2,2,3,3,5,No,Travel_Frequently,3,85,No
EMP0050,19,Male,Married,Sales,Sales Representative,3,Bachelor,7,4,1,2,16,3,2,79243,429,3341,78738,11,2,4,2,3,3,3,3,3,No,Travel_Rarely,1,60,No
EMP0051,40,Female,Married,IT,Systems Administrator,5,Doctorate,7,2,0,1,14,1,3,116041,762,6539,114304,11,6,4,4,2,3,2,3,3,No,Travel_Rarely,0,55,No
EMP0052,33,Male,Single,Human Resources,Recruiter,3,Bachelor,3,1,0,0,6,4,5,181601,1258,9116,174085,13,29,1,3,2,4,3,3,3,No,Travel_Frequently,1,110,No
EMP0053,30,Male,Single,IT,IT Support,3,Bachelor,7,2,3,1,18,4,1,62981,357,2821,61002,15,8,4,3,4,3,2,4,4,Yes,Travel_Rarely,1,90,No
EMP0054,43,Female,Married,IT,IT Manager,4,Master,9,4,3,3,9,2,1,61838,423,3391,59917,11,27,3,1,3,3,4,3,0,No,Travel_Rarely,2,80,Yes
EMP0055,47,Female,Single,Operations,Operations Manager,4,Master,5,2,1,1,14,1,1,62561,434,3546,63772,14,16,4,2,4,2,2,3,0,No,Travel_Rarely,0,80,No
EMP0056,46,Male,Married,Human Resources,Recruiter,2,College,1,0,0,0,4,3,2,71043,502,3836,70379,18,10,2,3,1,4,2,3,2,Yes,Travel_Rarely,0,150,No
EMP0057,28,Female,Divorced,Research & Development,Laboratory Technician,3,Bachelor,1,0,0,0,15,6,1,66491,384,3027,68365,11,4,4,1,2,2,3,3,3,No,Travel_Frequently,0,155,No
EMP0058,33,Male,Divorced,IT,Systems Administrator,2,College,1,0,0,0,3,1,4,108978,730,5821,111255,11,3,3,3,2,4,4,3,1,No,Travel_Rarely,3,70,No
EMP0059,40,Female,Married,Sales,Sales Executive,5,Doctorate,0,0,0,0,5,2,1,58464,336,2788,56663,20,10,3,4,1,1,3,3,2,No,Travel_Rarely,0,120,Yes
EMP0060,46,Female,Single,Finance,Finance Manager,2,College,1,0,0,0,11,2,1,59487,407,3434,59861,11,5,3,3,2,2,3,4,1,No,Non-Travel,0,120,No
EMP0061,32,Female,Divorced,Sales,Sales Executive,3,Bachelor,1,0,0,0,5,2,1,47179,290,2430,48325,16,16,3,3,2,2,3,4,4,No,Travel_Rarely,1,100,No
EMP0062,35,Male,Divorced,Research & Development,Software Engineer,1,Below College,3,1,1,0,7,5,4,131197,851,6592,132942,21,14,3,3,1,3,3,3,1,No,Travel_Rarely,0,65,No
EMP0063,25,Male,Single,Finance,Financial Analyst,2,College,11,8,2,6,12,4,3,114764,693,6097,115911,11,3,3,1,3,2,4,3,4,Yes,Non-Travel,0,120,No
EMP0064,25,Male,Married,Human Resources,HR Specialist,4,Master,0,0,0,0,11,3,4,153589,830,7103,157269,11,12,3,4,2,1,1,3,2,Yes,Travel_Rarely,1,120,Yes
EMP0065,45,Male,Single,Research & Development,Research Director,2,College,6,3,1,2,8,4,5,152161,828,6306,145416,13,6,3,4,1,2,4,3,5,No,Travel_Frequently,0,70,No
EMP0066,50,Male,Divorced,Research & Development,Laboratory Technician,1,Below College,5,3,0,1,15,1,2,70955,368,2764,72597,15,3,3,3,3,2,4,3,3,No,Non-Travel,1,25,No
EMP0067,36,Female,Divorced,Finance,Financial Analyst,3,Bachelor,0,0,0,0,5,2,1,51763,338,2603,50586,11,5,2,1,3,2,4,3,4,No,Travel_Frequently,0,165,No
EMP0068,47,Male,Single,Research & Development,Research Director,1,Below College,12,9,2,7,13,3,1,49126,349,2765,49479,24,22,4,2,4,2,3,3,2,No,Non-Travel,1,80,No
EMP0069,40,Male,Divorced,Finance,Finance Manager,1,Below College,4,1,0,0,18,5,1,63493,320,2739,61856,17,4,3,2,3,4,4,3,2,No,Travel_Rarely,0,70,No
EMP0070,30,Female,Married,Sales,Sales Representative,4,Master,2,1,0,0,5,4,3,111970,578,4881,115763,11,3,2,3,4,3,2,3,4,No,Travel_Rarely,1,85,No
EMP0071,40,Male,Divorced,IT,Systems Administrator,4,Master,7,2,2,1,8,3,1,54767,336,2876,54660,11,4,3,2,4,3,3,3,1,No,Travel_Rarely,0,85,No
EMP0072,52,Female,Married,Finance,Accountant,5,Doctorate,1,0,0,0,9,0,1,69216,473,3611,70205,14,2,2,3,3,4,3,3,1,No,Travel_Rarely,0,105,Yes
EMP0073,36,Male,Divorced,Sales,Sales Representative,5,Doctorate,5,2,1,1,7,3,2,93212,502,4091,95953,17,7,1,3,3,3,2,3,1,No,Travel_Frequently,0,100,Yes
EMP0074,52,Male,Single,Research & Development,Research Scientist,4,Master,0,0,0,0,9,1,2,79526,451,3451,82669,24,1,3,1,1,4,3,4,0,Yes,Non-Travel,1,155,No
EMP0075,18,Male,Married,Sales,Sales Representative,1,Below College,9,5,2,2,18,1,3,101488,566,4173,103843,15,17,3,3,3,2,2,3,6,Yes,Travel_Rarely,0,90,No
EMP0076,45,Male,Single,IT,IT Support,4,Master,2,1,0,0,7,2,2,75934,455,3774,73266,13,2,2,2,3,3,1,3,0,No,Travel_Rarely,1,125,No
EMP0077,37,Female,Divorced,Research & Development,Laboratory Technician,4,Master,5,1,2,0,19,1,3,138533,770,5720,143444,11,9,2,4,4,2,3,3,1,No,Travel_Rarely,1,30,No
EMP0078,34,Male,Divorced,IT,IT Support,4,Master,1,0,0,0,1,2,2,79188,465,3844,80126,16,1,4,2,3,3,4,3,3,No,Travel_Rarely,1,85,No
EMP0079,37,Male,Divorced,Sales,Sales Manager,3,Bachelor,5,3,2,2,17,4,1,67741,462,3805,68482,20,29,2,2,4,3,3,3,4,No,Travel_Rarely,0,100,No
EMP0080,18,Male,Divorced,Sales,Sales Manager,2,College,7,2,3,1,17,3,3,104357,681,5786,108753,11,6,2,1,4,2,4,3,2,Yes,Travel_Rarely,1,100,Yes
EMP0081,34,Male,Single,Sales,Sales Manager,4,Master,3,1,1,0,16,1,5,231403,1203,8930,225590,15,17,4,4,4,4,3,3,2,No,Travel_Rarely,3,30,No
EMP0082,40,Female,Married,Research & Development,Laboratory Technician,4,Master,4,2,1,1,18,4,1,55192,363,3068,53754,11,14,2,3,2,3,4,3,4,Yes,Non-Travel,0,125,No
EMP0083,51,Male,Single,Human Resources,Recruiter,5,Doctorate,3,1,0,0,17,2,2,108811,673,5921,108954,11,12,3,3,1,1,3,3,1,Yes,Non-Travel,0,100,Yes
EMP0084,31,Female,Single,Finance,Financial Analyst,2,College,11,5,5,3,20,4,2,96405,707,6053,98823,23,17,2,1,4,3,4,3,3,No,Travel_Rarely,0,100,No
EMP0085,28,Female,Single,IT,IT Manager,2,College,3,1,1,0,5,3,1,49841,285,2394,49578,19,1,3,3,4,4,2,3,0,No,Travel_Rarely,1,90,No
EMP0086,31,Male,Married,Research & Development,Laboratory Technician,2,College,9,5,1,4,16,2,4,151928,1035,8548,153962,11,11,3,2,2,2,4,3,1,No,Travel_Rarely,0,65,No
EMP0087,46,Female,Single,Operations,Operations Manager,4,Master,8,6,3,4,12,2,1,65056,444,3496,64747,14,3,4,4,4,1,3,3,6,No,Travel_Rarely,2,30,No
EMP0088,40,Male,Single,IT,Systems Administrator,2,College,2,1,0,0,9,4,3,114183,634,5305,115443,13,15,3,4,3,4,3,4,1,No,Travel_Rarely,1,65,No
EMP0089,31,Male,Single,Operations,Operations Analyst,1,Below College,1,0,0,0,15,3,3,96702,701,5859,99818,11,29,3,3,1,4,3,3,1,No,Travel_Rarely,0,130,No
EMP0090,42,Male,Single,Research & Development,Research Director,5,Doctorate,2,1,0,0,3,2,2,82821,515,4228,80174,12,23,4,4,3,1,4,3,4,No,Travel_Rarely,3,80,No
EMP0091,37,Female,Divorced,Research & Development,Research Scientist,1,Below College,8,5,1,2,14,0,1,59763,400,3389,60930,18,1,4,1,4,4,4,3,5,No,Travel_Frequently,0,115,No
EMP0092,46,Female,Married,Sales,Sales Executive,4,Master,1,0,0,0,9,1,1,63779,342,2707,65612,12,4,2,2,3,2,2,3,1,No,Travel_Rarely,0,115,Yes
EMP0093,29,Male,Divorced,IT,Systems Administrator,3,Bachelor,3,2,1,1,9,1,1,54604,308,2277,54315,17,4,4,2,4,4,2,3,2,Yes,Travel_Rarely,0,130,No
EMP0094,33,Female,Married,Sales,Sales Executive,4,Master,8,6,0,3,10,1,1,65560,423,3423,64401,12,1,3,1,1,3,1,3,3,No,Travel_Rarely,0,130,No
EMP0095,33,Male,Single,Research & Development,Software Engineer,3,Bachelor,2,0,0,0,8,3,1,48293,279,2127,45943,11,1,3,4,3,4,2,3,3,No,Travel_Rarely,2,105,No
EMP0096,22,Male,Divorced,Research & Development,Software Engineer,5,Doctorate,5,3,0,2,19,2,3,137135,856,6689,141209,20,4,3,1,4,4,2,3,6,No,Travel_Rarely,0,90,No
EMP0097,39,Male,Married,Human Resources,Recruiter,5,Doctorate,1,0,0,0,8,2,2,80030,474,3426,78652,11,29,3,4,3,1,3,3,4,Yes,Travel_Rarely,1,105,Yes
EMP0098,39,Female,Single,Human Resources,HR Specialist,1,Below College,0,0,0,0,13,1,3,94381,623,4867,93034,23,8,2,3,2,1,3,3,1,No,Travel_Frequently,2,115,No
EMP0099,37,Female,Single,Sales,Sales Executive,1,Below College,7,3,2,1,7,3,2,72878,453,3847,71682,19,9,3,2,3,3,3,3,6,No,Travel_Rarely,0,85,No
EMP0100,34,Male,Single,Research & Development,Research Director,2,College,0,0,0,0,12,1,3,103140,516,4163,103126,15,6,3,1,4,2,3,4,3,No,Travel_Rarely,1,100,No
EMP0101,22,Male,Single,Human Resources,HR Manager,4,Master,1,0,0,0,13,1,5,204655,1355,9777,208799,12,10,2,1,2,3,3,3,3,Yes,Non-Travel,1,160,No
EMP0102,32,Male,Married,Operations,Operations Manager,5,Doctorate,9,6,1,4,11,1,1,63276,383,3045,64996,13,29,3,2,3,4,2,3,1,No,Travel_Rarely,2,75,No
EMP0103,33,Male,Married,IT,Systems Administrator,3,Bachelor,2,0,0,0,6,1,4,127312,745,5711,125944,16,8,4,3,2,2,3,3,4,No,Travel_Frequently,0,105,No
EMP0104,28,Male,Single,Operations,Logistics Coordinator,4,Master,18,10,7,4,29,3,2,90816,475,3782,92297,15,1,3,3,3,3,3,3,3,No,Travel_Rarely,0,100,No
EMP0105,35,Female,Single,IT,Developer,2,College,19,7,6,3,24,3,3,125278,695,5454,128042,11,6,3,3,3,2,3,3,0,No,Travel_Rarely,2,70,No
EMP0106,41,Male,Divorced,Human Resources,Recruiter,4,Master,1,0,0,0,3,0,3,101907,566,4919,99837,15,29,4,3,4,3,3,3,2,No,Travel_Rarely,0,80,No
EMP0107,55,Male,Single,Sales,Sales Manager,5,Doctorate,0,0,0,0,14,1,2,92787,680,4940,89044,16,4,3,2,3,2,2,3,6,Yes,Non-Travel,0,135,No
EMP0108,38,Male,Married,IT,Systems Administrator,2,College,6,3,2,1,9,3,1,56297,342,2836,58518,13,9,2,2,3,2,4,3,1,Yes,Travel_Rarely,1,105,No
EMP0109,39,Female,Divorced,Human Resources,HR Manager,3,Bachelor,2,0,0,0,6,0,1,61596,314,2688,62686,25,1,3,4,4,4,3,3,6,No,Travel_Rarely,0,100,No
EMP0110,36,Female,Single,Human Resources,HR Manager,1,Below College,0,0,0,0,14,2,2,82649,441,3852,83873,14,1,2,2,2,4,3,3,0,No,Travel_Rarely,1,125,No
EMP0111,18,Male,Single,Research & Development,Software Engineer,3,Bachelor,6,2,0,1,8,3,5,160895,836,6256,153797,11,20,3,2,3,4,2,4,2,No,Travel_Rarely,2,70,No
EMP0112,36,Female,Married,Research & Development,Research Scientist,3,Bachelor,0,0,0,0,3,4,3,110908,717,5771,114433,11,3,4,3,4,4,2,3,1,Yes,Travel_Rarely,1,95,No
EMP0113,37,Male,Single,Research & Development,Research Scientist,2,College,10,5,2,3,14,2,1,64714,353,2566,65141,18,3,3,4,2,3,1,3,2,No,Travel_Rarely,1,80,No
EMP0114,60,Male,Married,Research & Development,Research Scientist,3,Bachelor,0,0,0,0,1,2,3,97912,611,4887,101318,11,4,3,4,2,3,1,3,3,No,Travel_Frequently,0,115,Yes
EMP0115,35,Male,Divorced,Sales,Sales Executive,3,Bachelor,0,0,0,0,9,2,3,121557,720,5328,127325,11,29,3,2,3,2,2,3,4,No,Non-Travel,2,95,No
EMP0116,40,Male,Single,Finance,Accountant,3,Bachelor,0,0,0,0,8,2,1,56683,397,3390,59273,21,1,2,3,2,2,2,3,2,Yes,Travel_Rarely,1,165,Yes
EMP0117,36,Male,Married,Sales,Sales Executive,3,Bachelor,16,10,5,5,25,2,1,63903,370,2731,66178,15,17,3,1,2,2,3,3,1,No,Travel_Rarely,0,105,Yes
EMP0118,25,Female,Married,Sales,Sales Representative,1,Below College,5,3,2,2,12,2,1,50243,308,2470,47785,11,4,3,4,4,2,3,3,4,No,Travel_Frequently,0,90,No
EMP0119,48,Female,Single,Research & Development,Software Engineer,4,Master,8,4,3,3,19,1,4,164504,1119,8989,170849,11,18,1,2,3,2,3,3,4,Yes,Travel_Rarely,2,90,No
EMP0120,44,Female,Married,IT,IT Manager,4,Master,2,1,0,0,7,8,3,100293,610,5340,96031,18,29,4,2,4,2,3,3,6,No,Travel_Rarely,0,90,No
EMP0121,44,Male,Single,Research & Development,Software Engineer,3,Bachelor,2,0,0,0,11,2,1,50634,353,2911,52412,15,4,2,4,2,3,3,3,6,No,Travel_Rarely,1,105,No
EMP0122,27,Male,Married,Research & Development,Software Engineer,1,Below College,1,0,0,0,11,4,1,45008,299,2290,44018,21,1,4,4,4,2,3,3,3,No,Travel_Rarely,0,110,No
EMP0123,51,Female,Single,Human Resources,Recruiter,4,Master,3,1,0,0,5,2,3,100429,605,4589,101534,11,1,3,3,4,3,2,3,2,No,Travel_Rarely,0,65,Yes
EMP0124,22,Male,Married,Research & Development,Software Engineer,5,Doctorate,4,2,1,1,14,2,4,151848,950,7034,144833,13,14,3,2,4,3,4,4,1,No,Travel_Rarely,0,65,No
EMP0125,42,Male,Single,Operations,Logistics Coordinator,2,College,4,2,1,1,5,2,3,99708,739,6215,102411,16,1,1,3,2,4,4,3,0,No,Travel_Rarely,2,65,No
EMP0126,58,Male,Divorced,Operations,Operations Analyst,3,Bachelor,1,0,0,0,7,1,2,75009,499,4144,72096,21,3,2,4,3,1,3,3,2,Yes,Non-Travel,1,100,No
EMP0127,27,Female,Single,Research & Development,Research Scientist,2,College,14,9,6,7,21,3,1,68592,498,4071,67979,16,2,4,3,3,3,1,3,2,Yes,Travel_Rarely,1,135,No
EMP0128,31,Male,Married,Research & Development,Research Scientist,3,Bachelor,0,0,0,0,9,1,2,76387,416,3022,78811,11,4,3,2,4,3,4,3,2,Yes,Travel_Rarely,0,130,No
EMP0129,37,Male,Married,IT,Systems Administrator,2,College,16,7,1,4,16,3,1,56403,350,2947,57504,21,1,4,2,4,4,4,4,3,No,Travel_Rarely,0,95,No
EMP0130,31,Female,Married,Sales,Sales Representative,3,Bachelor,0,0,0,0,13,2,3,97311,707,5816,92504,13,19,3,4,1,2,1,3,4,Yes,Travel_Frequently,0,155,No
EMP0131,21,Male,Married,Research & Development,Research Director,4,Master,3,1,0,0,17,1,2,84706,491,4292,83884,15,19,4,3,4,2,1,3,1,No,Travel_Rarely,0,80,No
EMP0132,37,Male,Married,Research & Development,Research Scientist,3,Bachelor,2,1,0,0,7,2,3,90420,670,5453,86278,18,5,4,3,4,2,4,3,4,No,Non-Travel,1,60,No
EMP0133,26,Male,Married,Operations,Operations Analyst,3,Bachelor,2,1,0,0,8,3,2,82171,430,3305,83596,22,9,3,2,3,2,3,3,0,No,Travel_Frequently,1,110,No
EMP0134,41,Male,Divorced,Sales,Sales Manager,3,Bachelor,4,2,1,0,18,2,3,124032,900,7029,129848,16,10,3,3,2,3,4,3,3,No,Travel_Rarely,0,40,No
EMP0135,27,Female,Single,Human Resources,HR Manager,3,Bachelor,2,1,0,0,14,1,1,53609,327,2446,54441,25,13,4,4,4,4,2,3,2,No,Travel_Frequently,3,130,No
EMP0136,52,Male,Married,IT,Developer,1,Below College,2,0,0,0,10,2,2,72100,373,3117,70112,14,7,2,2,3,2,4,3,3,Yes,Non-Travel,0,140,No
EMP0137,29,Male,Divorced,Research & Development,Research Scientist,1,Below College,6,1,1,0,17,3,2,68272,491,4091,67283,16,7,4,3,4,2,1,3,6,No,Travel_Frequently,2,90,No
EMP0138,33,Female,Divorced,Sales,Sales Representative,5,Doctorate,5,1,0,0,7,2,1,66317,373,2805,69478,11,9,3,2,4,2,2,3,3,No,Travel_Frequently,0,95,No
EMP0139,45,Female,Divorced,Operations,Logistics Coordinator,1,Below College,8,3,1,2,9,4,4,136468,689,5135,132702,16,12,3,2,1,2,4,3,3,No,Non-Travel,0,60,No
EMP0140,24,Female,Married,Research & Development,Research Director,4,Master,1,0,0,0,5,1,2,71169,380,2782,71606,16,4,1,4,3,4,2,4,5,No,Non-Travel,1,115,No
EMP0141,39,Male,Single,Human Resources,Recruiter,5,Doctorate,4,2,1,0,16,2,2,90429,601,5204,89528,20,4,3,4,3,4,2,3,2,Yes,Travel_Rarely,0,85,No
EMP0142,50,Male,Married,Sales,Sales Executive,2,College,4,2,0,1,18,3,3,125399,933,7065,128763,17,3,2,3,4,2,4,3,2,No,Travel_Rarely,0,45,No
EMP0143,20,Female,Married,Research & Development,Research Scientist,3,Bachelor,2,0,0,0,11,3,4,135866,717,5557,140857,12,7,4,2,2,2,2,3,0,No,Travel_Frequently,0,135,No
EMP0144,38,Female,Married,Research & Development,Research Director,3,Bachelor,3,1,1,0,3,2,2,77597,477,3648,76361,16,4,3,2,2,4,2,4,6,Yes,Travel_Rarely,0,115,No
EMP0145,39,Male,Married,Sales,Sales Representative,5,Doctorate,1,0,0,0,13,0,4,148627,810,6368,151010,11,7,2,4,4,1,3,3,4,No,Travel_Rarely,1,65,Yes
